c_b_1_1 real: cat, predicted: Egyptian_cat 0.26727897
c_b_1_2 real: cat, predicted: lynx 0.38847783
c_b_1_4 real: cat, predicted: lynx 0.37886554
c_b_1_8 real: cat, predicted: lynx 0.45914397
c_b_1_16 real: cat, predicted: lynx 0.3635219
c_b_1_32 real: cat, predicted: lynx 0.33083972
c_b_1_64 real: cat, predicted: lynx 0.22114515
c_b_1_128 real: cat, predicted: breastplate 0.2869694
c_b_1_256 real: cat, predicted: barrel 0.062802136
c_b_1_512 real: cat, predicted: beaker 0.18595624
c_b_2_1 real: cat, predicted: jellyfish 0.85116
c_b_2_2 real: cat, predicted: jellyfish 0.83974487
c_b_2_4 real: cat, predicted: jellyfish 0.83091146
c_b_2_8 real: cat, predicted: jellyfish 0.81000066
c_b_2_16 real: cat, predicted: jellyfish 0.80896145
c_b_2_32 real: cat, predicted: jellyfish 0.7758708
c_b_2_64 real: cat, predicted: jellyfish 0.7592338
c_b_2_128 real: cat, predicted: jellyfish 0.73118657
c_b_2_256 real: cat, predicted: jellyfish 0.74751204
c_b_2_512 real: cat, predicted: jellyfish 0.79659945
c_b_3_1 real: cat, predicted: plastic_bag 0.14851487
c_b_3_2 real: cat, predicted: plastic_bag 0.16904752
c_b_3_4 real: cat, predicted: plastic_bag 0.17297468
c_b_3_8 real: cat, predicted: feather_boa 0.17225768
c_b_3_16 real: cat, predicted: feather_boa 0.16897187
c_b_3_32 real: cat, predicted: plastic_bag 0.13089427
c_b_3_64 real: cat, predicted: plastic_bag 0.14312038
c_b_3_128 real: cat, predicted: Persian_cat 0.064277075
c_b_3_256 real: cat, predicted: Arctic_fox 0.20941015
c_b_3_512 real: cat, predicted: Arctic_fox 0.4196545
c_b_4_1 real: cat, predicted: hamster 0.1730957
c_b_4_2 real: cat, predicted: hamster 0.1797157
c_b_4_4 real: cat, predicted: hamster 0.17023534
c_b_4_8 real: cat, predicted: hamster 0.15240113
c_b_4_16 real: cat, predicted: hamster 0.16264081
c_b_4_32 real: cat, predicted: hamster 0.17494339
c_b_4_64 real: cat, predicted: teddy 0.10670256
c_b_4_128 real: cat, predicted: starfish 0.092229776
c_b_4_256 real: cat, predicted: coral_reef 0.05131802
c_b_4_512 real: cat, predicted: container_ship 0.04093975
c_b_5_1 real: cat, predicted: jean 0.29828414
c_b_5_2 real: cat, predicted: jean 0.22972135
c_b_5_4 real: cat, predicted: jean 0.19949129
c_b_5_8 real: cat, predicted: jean 0.113186106
c_b_5_16 real: cat, predicted: jean 0.0941939
c_b_5_32 real: cat, predicted: pillow 0.13084021
c_b_5_64 real: cat, predicted: jean 0.08863764
c_b_5_128 real: cat, predicted: jean 0.05276673
c_b_5_256 real: cat, predicted: seat_belt 0.034624953
c_b_5_512 real: cat, predicted: komondor 0.07856581
c_b_6_1 real: cat, predicted: Egyptian_cat 0.9888061
c_b_6_2 real: cat, predicted: Egyptian_cat 0.96563554
c_b_6_4 real: cat, predicted: Egyptian_cat 0.954483
c_b_6_8 real: cat, predicted: Egyptian_cat 0.9078588
c_b_6_16 real: cat, predicted: Egyptian_cat 0.20468439
c_b_6_32 real: cat, predicted: Kerry_blue_terrier 0.6762177
